Row,test,total_changed_90,description_length,total_methods,total_token,total_added_lines,dmm_unit_interfacing,TokenDensity,GunningFog,LexicalDiversity
Android_21048,5,24,227,35,9174,338,0.864285714,183.7666667,52.24955453,0.203052995
Android_22345,0,0,391,0,0,0,0,22.27272727,19.62007404,0.386877828
Android_21527,0,0,350,0,0,5,0,29.04761905,20.06488095,0.38671875
Android_14746,0,0,149,10,52383,19,0.083333333,135.95,46.48283957,0.264992312
Android_22313,0,5,134,14,7478,78,0.805555556,158.3157895,50.12646939,0.166438668
Android_14395,0,7,211,1,1290,1,0,29,20.09736541,0.381443299
Android_18698,7,0,99,13,1045,202,1,207.6818182,59.93308081,0.144444444
Android_21505,0,25,416,1,8313,8,0,35.14814815,18.69635379,0.345407503
Android_15404,0,0,413,0,0,79,0,106.5,32.84457995,0.211128049
Android_15367,0,35,154,10,6793,407,1,232.5135135,69.27301997,0.160391693
Android_23554,1,3,164,5,318,30,1,58.47058824,26.00449965,0.309428951
Android_11817,0,1,180,1,10760,4,1,31.63157895,20.49235243,0.38305709
Android_23810,0,3,183,1,1007,5,0,45.84210526,21.9476237,0.322396576
Android_22071,0,2,163,0,0,2,0,32.47058824,19.89333692,0.405034325
Android_23670,0,0,231,0,0,6,0,27.95238095,19.20841639,0.372093023
Android_16931,0,28,167,1,2832,4,1,43.41176471,22.89127993,0.328308208
Android_15977,0,1,178,0,399,1,0,30.41176471,20.35001355,0.384792627
Android_16302,0,0,169,0,0,2,0,27.61111111,20.4122449,0.424036281
Android_18726,6,0,121,5,975,67,1,122.2352941,36.95912771,0.269689737
Android_20238,0,55,301,3,13943,23,0.5,70.68421053,28.54828375,0.364793213
Android_11512,0,8,75,58,24605,5,0.054474708,32.23529412,19.90658472,0.370646766
Android_15690,0,7,159,0,0,1,0,28.94117647,19.60460716,0.400932401
Android_13772,0,2,165,0,0,9,0,57.29411765,21.6131826,0.38762215
Android_12770,0,720,75,8,90267,7,0.854166667,165.1,41.43408034,0.234143763
Android_24098,0,7,115,0,32206,0,0,29.05882353,20.38094993,0.374179431
Android_20854,0,45,254,36,19487,591,0.551330798,178.8163265,54.2724832,0.170593293
Android_16937,0,4,121,0,0,248,0,108,27.97661448,0.219178082
Android_18362,0,7,313,6,7793,36,0.636363636,91.56521739,35.90391,0.28362014
Android_24210,0,6,482,5,1795,94,0.333333333,103.65,33.3271777,0.246689895
Android_12211,0,570,74,2,3423,15,0,83.84210526,29.13101573,0.227859779
