Id,Label,heuristics,Gemini
1249,"bug, test",bug;test,"bug, test"
1111,"test, bug",deprecat;test,"test, bug"
6046,bug,bug,bug
655,merge,bug;deprecat;test,merge
5812,bug,bug;deprecat,bug
7869,"feature,resource",bug;feature;resource,"feature,resource"
1535,"refactor,feature",others,"refactor,feature"
5528,"resource,bug",bug;resource,"resource,bug"
508,"bug,test",bug,"bug,test"
943,resource; bug,bug;resource,resource; bug
6305,bug,others,bug
4695,"feature,test",deprecat,"feature,test"
7214,"resource,bug",bug;resource,"resource,bug"
5899,bug;feature,bug;resource,"**bug** 
"
2432,test,test,"**test** 
"
4072,"bug,test",bug,"bug,test"
222,bug,bug;feature,bug
4854,resource,resource,resource
6333,"test,feature,bug",bug;resource;test,"test,feature,bug"
5158,resource,bug;resource,"bug, resource 
"
3951,bug,bug,bug
2446,"feature,resource ",feature,"feature,resource "
6709,"bug,feature;test",bug;feature,"bug,feature;test"
899,"bug, refactor ",deprecat;test,"bug, refactor "
3832,test,resource,"refactor,test"
3795,"test,refactor,feature",refactoring,"test,refactor,feature"
6847,"feature,deprecat",feature;test,"refactor,feature"
4093,"test,refactor",refactoring;test,"test,refactor"
5050,resource,deprecat;resource,"resource ,bug"
6736,"refactor,",refactoring,"refactor,bug"
4696,"bug, test,feature",bug;resource,"bug, test,feature"
244,"test,refactor",resource;test,"test,refactor"
2089,bug,resource;test,"bug,refactor"
1317,"feature,bug,resource ",bug;feature,"feature,bug,resource, refactor"
2069,"resource,bug",bug;resource,"resource,bug"
2942,bug,bug,bug
4119,bug,bug;deprecat,"bug,refactor"
5458,"feature,resource",bug;deprecat;resource;test,"feature,resource"
7567,bug,bug;feature,bug
5692,"bug, resource",bug;resource,"bug, resource"
6967,"bug,resource",bug;resource,"bug,resource"
4573,bug; test,refactoring;test,bug; test
4948,bug,bug;resource,bug
6893,"bug,resource",bug;resource,resource
3971,"bug,feature,test",bug,"bug,feature"
2051,refactor,deprecat,refactor
4298,"bug,resource",bug;deprecat;resource,"bug,resource"
4106,test,test,test
4374,"bug,resource,refactor",bug;resource,"bug,resource,refactor"
5030,"bug,resource",bug;resource,"bug,resource"
5193,resource,resource,resource
3638,"resource,bug",bug;resource,"resource,bug"
299,resource,resource,resource
4982,"bug,resource",bug;deprecat;resource,"bug,resource"
6386,"bug,test",bug,"bug,test"
2922,"bug,feature,test,refactor",bug;deprecat;feature;test,-
1032,"bug,resource",bug;deprecat;resource,"bug,resource"
4946,"bug,test",bug;refactoring;resource;test,"bug,test"
6480,bug,bug,bug
438,resource,resource,resource
2292,feature,others,feature
1888,"resource,",resource,"resource,"
7415,refactor,deprecat;test,"refactor,test"
5178,"bug,resource",bug;deprecat,"bug,resource"
6261,"bug,test",bug;test,"bug,test"
47,test,bug;test,"refactor, test"
2705,"test, feature ",resource;test,"test, feature "
6411,bug,bug;resource;test,bug
7172,bug,test,"bug, test"
2150,refactor,deprecat;test,"refactor,bug"
3068,bug,bug,bug
4955,"refactor, feature",resource,"refactor, feature"
7452,resource,resource,"bug,resource "
2569,bug,resource,bug
1054,resource,resource,resource
3320,"bug,test",bug,"bug,test"
3194,"feature, resource ",test,"feature, resource "
2938,"feature,resource",feature,
288,"deprecat,refactor",bug;deprecat,"deprecat,refactor"
6244,resource,resource,resource
5882,"bug,deprecat",bug;deprecat,"bug,deprecat"
4985,"bug,resource",bug;resource,"bug,resource"
5082,"bug,feature",bug,"bug,feature"
5491,"bug,test",bug;test,"bug,test"
3429,bug,bug,bug
6977,bug;resource,bug;resource,bug;resource
3352,deprecat,deprecat;refactoring,"deprecate, refactor"
1681,"resource, bug ",bug;resource,resource
1655,"deprecat,refactor,resource",bug;deprecat,"deprecat,refactor,resource"
4756,bug,bug,"bug,refactor"
4903,"feature,bug",bug;feature;test,"feature,bug"
4584,test,test,test
5113,"test,bug",bug;test,"test,bug"
7164,"resource,bug",resource,"resource ,bug"
