Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.9320388349514563,0.7804878048780488,0.8495575221238938,0.7061362296894953,0.8461538461538461
resource,0.7083333333333334,0.5862068965517241,0.6415094339622641,0.5965886440041542,0.9140271493212669
feature,0.7530864197530864,0.953125,0.8413793103448276,0.7772750898116381,0.8959276018099548
test,0.7352941176470589,0.8928571428571429,0.8064516129032258,0.7801592631485287,0.9457013574660633
refactor,0.3,0.8823529411764706,0.44776119402985076,0.4526831422644854,0.832579185520362
merge,0.625,0.7142857142857143,0.6666666666666666,0.6565756711736728,0.9773755656108597
deprecate,0.16666666666666666,1.0,0.2857142857142857,0.40358244248082437,0.9773755656108597
Micro Average,0.7189542483660131,0.8178438661710037,0.7652173913043478,0.7141267461159071,0.9127343244990304
Macro Average,0.602917053193086,0.8299022142498715,0.6484342893921449,0.624714354653257,0.9127343244990304
Weighted Average,0.794088759073151,0.8178438661710037,0.7884482939791535,0.7005246007554827,0.8787195747615604
