Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.84375,0.8780487804878049,0.8605577689243028,0.6782001196568324,0.8416289592760181
resource,0.4146341463414634,0.5862068965517241,0.4857142857142857,0.4006057930206928,0.8371040723981901
feature,0.5694444444444444,0.640625,0.6029411764705882,0.4288974849147242,0.755656108597285
test,0.7307692307692307,0.6785714285714286,0.7037037037037037,0.663121278316219,0.9276018099547512
refactor,0.5555555555555556,0.29411764705882354,0.38461538461538464,0.3700907400018006,0.9276018099547512
merge,1.0,0.2857142857142857,0.4444444444444444,0.5283853977034159,0.9773755656108597
deprecate,0.0,0.0,0.0,-0.00915353377452523,0.9773755656108597
Micro Average,0.6808510638297872,0.7137546468401487,0.6969147005444646,0.6315488949187947,0.892049127343245
Macro Average,0.5877361967300991,0.48046914834058096,0.49742525198181564,0.43716389711987996,0.8920491273432452
Weighted Average,0.7031824074138654,0.7137546468401487,0.6984231654676488,0.5614650720184644,0.8391057881545527
