Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.5240384615384616,0.7517241379310344,0.6175637393767706,0.2946737022324524,0.628099173553719
resource,0.4,0.32,0.35555555555555557,0.21255168270748218,0.7603305785123967
feature,0.358974358974359,0.4745762711864407,0.40875912408759124,0.27854698086141616,0.7768595041322314
test,0.6756756756756757,0.49504950495049505,0.5714285714285714,0.44877892230612526,0.7933884297520661
refactor,0.32,0.24242424242424243,0.27586206896551724,0.21672658858844115,0.8842975206611571
merge,0.0,0.0,0.0,-0.006211395793112399,0.9834710743801653
deprecate,0.05,1.0,0.09523809523809523,0.21765957504262204,0.9476584022038568
Micro Average,0.4721030042918455,0.5250596658711217,0.4971751412429379,0.39231995115061474,0.8248720975993703
Macro Average,0.3326697851697852,0.46911059378460174,0.33205816495030016,0.23753229370648948,0.8248720975993703
Weighted Average,0.49169047099238034,0.5250596658711217,0.4946137691714848,0.304936959594283,0.7377397318816282
