Id,Categories
1249,"Category(ies): bug, refactor"
1111,"bug, feature, test, refactor 

(Explanation: The change is primarily a bug fix, as it addresses a performance issue in the test suite. However, it also involves adding a new feature (disabling synchronous mode) and updating the test suite. Additionally, the code refactoring is necessary to implement this change.)"
6046,"bug, fix"
655,Too Large
5812,"bug, refactor

**bug:** Changes are made to fix bugs.
**refactor:** Changes are made to refactore existing code.

The change is primarily focused on fixing a bug (LP963396) but also includes refactoring code to call the delete method on the ip generator to clear the block of any allocatable_ips."
7869,"Category(ies): feature, resource"
1535,"bug, refactor, test

**bug:** Changes are made to fix bugs.
**refactor:** Changes are made to refactore existing code.
**test:** Changes are made to add new or update existing features."
5528,"bug, refactor, resource"
508,"bug, refactor, test"
943,"bug, resource"
6305,"bug, feature"
4695,"Category(ies): feature, test"
7214,"bug, refactor 

**Explanation:** The change is primarily focused on fixing a bug in the devref docs, but it also involves refactoring the filter_scheduler namespace by removing the distributed_scheduler namespace."
5899,"bug, refactor"
2432,"test, refactor"
4072,"bug, refactor, resource"
222,"bug, feature, refactor"
4854,"resource, refactor"
6333,"bug, feature, refactor, test

**bug:** Fixes LP 973338
**feature:** Adds new AltManager, AdminManager derived manager classes, Allows Manager to be inited with custom credentials, Adds config.ComputeAdminConfig class and setup
**refactor:** Updates test_authorization to use AltManager class
**test:** Updates test_authorization to use AltManager class"
5158,"bug, resource"
3951,"bug, fix"
2446,"Category(ies): feature, refactor"
6709,"bug, feature, refactor"
899,"bug, refactor"
3832,refactor
3795,refactor
6847,Too Large
4093,"bug, refactor, test"
5050,"bug, feature, resource: bug, feature, resource"
6736,"refactor, bug, resource"
4696,"bug, feature, refactor, resource, test: bug, feature, refactor, resource, test"
244,"Category(ies): refactor, test"
2089,Category(ies): refactor
1317,Too Large
2069,"bug, resource, test: bug"
2942,"bug, resource, test: The change is primarily to fix a bug (bug 914476), but it also involves updating a resource (ImpLoader) and adding a test (indirectly, by fixing the bug)."
4119,"bug, deprecate, refactor"
5458,"bug, feature, resource, test"
7567,Category(ies): bug
5692,Category(ies): bug
6967,"bug, resource"
4573,"bug, refactor"
4948,"bug, resource"
6893,"bug, resource, test: bug, resource, test"
3971,"bug, feature, resource, test"
2051,"bug, refactor"
4298,"bug, deprecate, refactor"
4106,"Category(ies): feature, refactor"
4374,"bug, refactor"
5030,"bug, resource, test: bug, resource, test"
5193,"resource, doc"
3638,"bug, resource"
299,"Category(ies): feature, refactor"
4982,"bug, resource, test: The change is primarily focused on fixing a bug (945268) by removing duplicate entries in the AUTHORS file, which is a resource, and also involves updating the.mailmap file, which is a resource, and the change also involves testing."
6386,"bug, refactor, test: bug, refactor, test"
2922,"Category(ies): feature, refactor, resource"
1032,"Category(ies): resource, bug"
4946,"bug, feature, test"
6480,"bug, fix"
438,"resource, refactor"
2292,"bug, feature"
1888,"Category(ies): feature, resource"
7415,Category(ies): refactor
5178,"bug, deprecate, refactor"
6261,"bug, test, refactor"
47,Category(ies): refactor
2705,"Category(ies): feature, test"
6411,"bug, refactor"
7172,"bug, refactor"
2150,"bug, refactor"
3068,"bug, refactor"
4955,"feature, refactor, resource"
7452,"Category(ies): resource, feature"
2569,"bug, feature"
1054,Category(ies): resource
3320,"bug, feature, test"
3194,"Category(ies): feature, resource"
2938,"Category(ies): feature, resource"
288,"Category(ies): refactor, deprecate"
6244,"Category(ies): feature, resource"
5882,"bug, deprecate, refactor"
4985,"bug, doc, test"
5082,"bug, refactor"
5491,"bug, test, refactor"
3429,"bug, refactor"
6977,"bug, fix"
3352,"deprecate, refactor"
1681,resource:
1655,"Category(ies): refactor, resource"
4756,"bug, refactor"
4903,"Category(ies): feature, refactor"
4584,"Category(ies): feature, test"
5113,"bug, test"
7164,"bug, feature"
6990,"Category(ies): feature, deprecate"
418,Category(ies): resource
7332,"bug, feature, refactor"
5988,"bug, feature, resource"
6670,"bug, refactor"
532,"Category(ies): feature, resource"
3200,"Category(ies): feature, bug, refactor"
6978,Category(ies): refactor
1597,"bug, refactor, test"
4858,"bug, feature, refactor"
2185,"bug, refactor, test"
