Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.9444444444444444,0.4146341463414634,0.576271186440678,0.4439831332350902,0.6606334841628959
resource,0.22857142857142856,0.8275862068965517,0.3582089552238806,0.27431084215972973,0.6108597285067874
feature,0.7543859649122807,0.671875,0.7107438016528925,0.6041262883978238,0.8416289592760181
test,0.5,0.7857142857142857,0.6111111111111112,0.5595462421816406,0.8733031674208145
refactor,0.12727272727272726,0.8235294117647058,0.2204724409448819,0.18809794092662308,0.5520361990950227
merge,0.4444444444444444,0.5714285714285714,0.5,0.4856216779818345,0.9638009049773756
deprecate,0.0,0.0,0.0,0.0,0.995475113122172
Micro Average,0.41688654353562005,0.587360594795539,0.4876543209876543,0.3652212784353048,0.7853910795087266
Macro Average,0.4284455728064751,0.584966803163654,0.4252582136247777,0.36509801784039164,0.7853910795087266
Weighted Average,0.707623372953054,0.587360594795539,0.561770117273811,0.45908302524431355,0.7227371360325657
