Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.9926470588235294,0.5844155844155844,0.7356948228882834,0.557551407710375,0.7212643678160919
resource,0.5838150289017341,0.8706896551724138,0.698961937716263,0.5283068947703903,0.75
feature,0.6144578313253012,0.7083333333333334,0.6580645161290323,0.5630766018887411,0.8477011494252874
test,0.6470588235294118,0.6395348837209303,0.6432748538011696,0.5271054859546619,0.8247126436781609
refactor,0.32061068702290074,0.8936170212765957,0.47191011235955055,0.42181433369980004,0.7298850574712644
merge,0.0,0.0,0.0,-0.002881844380403458,0.9942528735632183
deprecate,0.2,1.0,0.3333333333333333,0.44462852415885024,0.9885057471264368
Micro Average,0.6270358306188925,0.6949458483754513,0.6592465753424658,0.5534305110614179,0.8366174055829229
Macro Average,0.4797984899432682,0.670941496845551,0.5058913680325189,0.4342287719717737,0.836617405582923
Weighted Average,0.7440085539889238,0.6949458483754513,0.6791344405500055,0.5346887770148397,0.7614786920619112
