Label,Precision,Recall,F1-Score,MCC,Accuracy
bug,0.6349206349206349,0.27586206896551724,0.38461538461538464,0.22031423440317838,0.6473829201101928
resource,0.3533834586466165,0.6266666666666667,0.4519230769230769,0.27566684382207923,0.6859504132231405
feature,0.45098039215686275,0.3898305084745763,0.41818181818181815,0.3160938704985588,0.8236914600550964
test,0.625,0.44554455445544555,0.5202312138728323,0.3848999943620873,0.7713498622589532
refactor,0.13440860215053763,0.7575757575757576,0.228310502283105,0.15511253706770403,0.5344352617079889
merge,0.1111111111111111,0.2,0.14285714285714285,0.13316120568977416,0.9669421487603306
deprecate,0.0,0.0,0.0,-0.005547898233594713,0.9862258953168044
Micro Average,0.34942084942084944,0.431980906921241,0.3863393810032017,0.25162132420880884,0.773711137347501
Macro Average,0.32997202842653756,0.38506850801970904,0.30658844839047994,0.21138582680139814,0.773711137347501
Weighted Average,0.5090480525674618,0.431980906921241,0.4179667630118689,0.2766682265359239,0.7047213291517914
