Id,Categories
9539.0," Category: refactor, resource, test

The change removes a workaround (forcesuccess) that is no longer needed, indicating a refactoring of the build process. The change also updates the configuration of the build stage, making it an resource change. Lastly, the change includes a test by running it and verifying that it passes, so it can be marked as a test change as well."
17339.0, Category: resource
26950.0, Category: refactor
16397.0, Category: resource
20700.0," Category: resource, changed_files  (This change updates the serialportinfo_mac.cpp file to add support for getting VID/PID on MacOSX, which falls under the resource category as it's updating nonsource code resources.)"
3849.0," Category: refactor, feature

The change is adding a backtrace debug output for leaked textures, which falls under the ""feature"" category. However, there are also refactoring changes in the code, such as renaming variables and moving some code around, which is why I included ""refactor"" as well."
4604.0, Category: refactor
25404.0, Category: resource
7798.0, Category: refactor
2439.0, Category: test
17897.0, Category: resource
17220.0, Category: refactor
2671.0," Category: resource, refactor, test"
19388.0, Category: refactor
16861.0, Category: feature
2258.0," Category: bug, refactor, test"
2485.0, Category: test
6269.0," Category: feature, test"
24593.0," Category: merge, refactor, resource, test"
19210.0, Category(ies): resource
17655.0, Category: test
24970.0," Category: refactor, test"
12965.0," Category: resource, test"
24657.0," Category: refactor, bug"
19690.0, Category: resource
11665.0, Category: refactor
18629.0,Too Large
17983.0, Category: resource
24665.0, Category: resource
23674.0, Category: resource
14504.0," Category(ies): resource, refactor"
6157.0," Category: refactor, merge (This change seems to refactor the QBluetoothLocalDevice class and merge some code related to different platforms. It also fixes a compile issue on Windows.)"
11524.0, Category: refactor
7814.0," Category: refactor, deprecate"
19266.0," Category: resource, test"
24611.0," Category: feature, refactor, resource (The change is adding new functionality for the QNX platform, refactoring existing code, and updating nonsource code resources like include files)"
21932.0, Category: resource
15045.0," Category: resource, refactor

The change is made to allow Zeroconf to compile with MinGW, which falls under the resource category as it involves updating nonsource code resources (configuration). Additionally, the change includes refactoring to define NOMINMAX only when compiling on Windows, making the code more maintainable and platform-specific."
15400.0," Category: refactor, bug"
16880.0," Category(ies): resource, test"
11067.0, Category: test
19041.0,Too Large
15514.0, Category: refactor
20883.0, Category: test
25199.0, resource
20901.0, Category: refactor
2721.0, Category(ies): test
13370.0," Category: refactor, bug (removing unnecessary asserts can sometimes introduce bugs if the condition being checked is not always true, so this change is addressing a potential bug)"
2830.0, Category: resource
4674.0," Category: feature, refactor"
21212.0, Category: resource
1127.0," Category(ies): test, resource"
19526.0, Category: refactor
369.0," Category: refactor, feature

Reasoning: The change involves adding a new function `warningTaskCount()` in both `taskwindow.cpp` and `taskwindow.h` files, and using it in `buildprogress.cpp`. This is a new feature to count and report only warning tasks in build progress. Also, the code refactoring is evident as the previous method of calculating warnings has been removed and replaced with the new function."
19247.0, Category: test
2125.0," Category: refactor, resource (since the change is focused on fixing layout and updating.ui files)"
17591.0, Category: test
9855.0, Category: refactor
11406.0, Category: refactor
26184.0, Category: refactor
5056.0, Category(ies): feature
10937.0, Category: refactor
2177.0," Category: resource, bug (fixing deprecated usage)"
15541.0," Category: bug, refactor"
13205.0, Category: resource
6820.0, Category: resource
19545.0," Category: bug, feature

Reasoning:
The change is made to fix an inconsistency in word selection behavior, which is a bug. However, it also involves implementing a new, consistent behavior for word selection, making it a feature as well."
2419.0, Category: test
17620.0," Category: bug, refactor"
9918.0, Category: resource
19849.0," Category: build

The change is modifying CMakeLists.txt files and updating the build process to use SHIBOKEN_BINARY instead of GENERATORRUNNER_BINARY. This is a build-related change."
3936.0, Category: test
532.0," Category: resource, bug"
15329.0, Category: test
17096.0," Category: bug, refactor

The change aims to fix a bug in the.ui scanner and also refactors the code by changing the variable declaration to use the consistently spelled 'Opaq' instead of the previously used 'opaq'."
1303.0, Category(ies): resource
1257.0, Category: resource
19779.0, Category: refactor
18598.0, Category: refactor
3382.0, Category: resource
13592.0," Category: bug, test"
17979.0," Category: refactor, bug"
7548.0, Category: refactor
10512.0, Category: resource
606.0," Category: resource, test"
24282.0," Category: feature, refactor"
11991.0," Category(ies): resource, refactor, test

The change is updating configuration and makefiles to alter the build process, which falls under the'resource' category. The primary goal is to refactor the existing code by removing jom and using nmake with compiler-level parallelization instead, hence the'refactor' category. Lastly, the change includes modifying test makefiles, which is why 'test' is also assigned."
18330.0, Category: test
20575.0, Category: resource
13772.0," Category(ies): resource, test"
