Id,Categories
21048,Category(ies): test
22345,Category(ies): feature
21527,Category(ies): test
14746,"Category(ies): refactor, bug"
22313,"Category(ies): bug, feature"
14395,Category(ies): resource
18698,Category(ies): bug
21505,"Category(ies): deprecate, refactor"
15404,Category(ies): resource
15367,Category(ies): feature
23554,Category(ies): test
11817,Category(ies): bug
23810,Category(ies): bug
22071,Category(ies): refactor
23670,Category(ies): resource
16931,Category(ies): feature
15977,Category(ies): bug
16302,"Category(ies): bug, refactor"
18726,Category(ies): bug
20238,"Category(ies): resource, refactor"
11512,Category(ies): deprecate
15690,Category(ies): bug
13772,Category(ies): feature
12770,"Category(ies): deprecate, refactor"
24098,Category(ies): bug
20854,Category(ies): feature
16937,Category(ies): bug
18362,"Category(ies): bug, refactor"
24210,Category(ies): feature
12211,Category(ies): feature
20170,Category(ies): bug
22675,Category(ies): feature
18597,Category(ies): refactor
8657,Category(ies): feature
10873,"Category(ies): feature, refactor"
23611,"Category(ies): bug, refactor"
12479,"Category(ies): feature, test"
19496,"Category(ies): deprecate, refactor"
22348,Category(ies): bug
13540,Category(ies): feature
23091,Category(ies): bug
15742,Category(ies): test
19277,Category(ies): test
16299,Category(ies): bug
22639,"Category(ies): refactor, bug"
15975,Category(ies): refactor
12353,Category(ies): bug
21414,Category(ies): resource
21660,Category(ies): merge
8697,Category(ies): bug
17542,Category(ies): feature
21685,"Category(ies): feature, refactor"
31451,Category(ies): deprecate
8313,Category(ies): bug
22491,Category(ies): resource
15079,Category(ies): bug
20956,"Category(ies): feature, refactor"
22039,Category(ies): bug
20848,Category(ies): bug
20563,Category(ies): feature
20861,"Category(ies): feature, refactor"
20881,Category(ies): feature
21607,Category(ies): feature
22764,"Category(ies): feature,test"
16730,Category(ies): feature
23746,Category(ies): resource
16850,"Category(ies): bug, refactor"
13604,Category(ies): refactor
21991,"Category(ies): merge, feature"
18879,"Category(ies): feature, test"
22228,Category(ies): bug
20855,Category(ies): feature
16709,"Category(ies): feature, resource"
24261,"Category(ies): bug, refactor"
16556,Category(ies): resource
22386,Category(ies): bug
14532,Category(ies): refactor
9449,"Category(ies): bug, refactor"
17210,Category(ies): bug
24271,Category(ies): bug
20473,Category(ies): refactor
11834,Category(ies): feature
11810,Category(ies): bug
23528,Category(ies): bug
22721,Category(ies): merge
12712,"Category(ies): feature, resource"
18577,"Category(ies): test, refactor"
14311,"Category(ies): refactor, bug"
24069,"Category(ies): bug, refactor"
14728,Category(ies): bug
23372,Category(ies): refactor
14807,"Category(ies): refactor, resource"
23519,Category(ies): bug
15519,"Category(ies): feature, refactor"
10979,Category(ies): bug
15095,Category(ies): feature
21985,Category(ies): bug
15840,Category(ies): feature
14110,"Category(ies): feature, refactor"
22624,Category(ies): bug
20302,"Category(ies): resource, test"
22018,Category(ies): feature
11375,Category(ies): refactor
16457,Category(ies): feature
11062,Category(ies): bug
23086,"Category(ies): merge, bug"
14538,Category(ies): refactor
17480,"Category(ies): refactor, feature"
22743,Category(ies): bug
23845,Category(ies): feature
15509,"Category(ies): feature, refactor"
16193,"Category(ies): bug, refactor"
23042,Category(ies): bug
15581,"Category(ies): bug, refactor"
19379,"Category(ies): bug, feature"
9737,Category(ies): feature
8662,Category(ies): feature
15685,"Category(ies): feature, resource"
24299,"Category(ies): feature, refactor"
21103,"Category(ies): bug, test"
23156,Category(ies): bug
16938,"Category(ies): feature, refactor"
22766,Category(ies): bug
23797,Category(ies): bug
20620,Category(ies): refactor
23512,"Category(ies): feature, refactor"
21089,Category(ies): refactor
23680,"Category(ies): feature, bug"
21793,Category(ies): bug
14121,Category(ies): bug
15584,"Category(ies): refactor, feature"
13025,"Category(ies): feature, bug"
16107,Category(ies): feature
14432,"Category(ies): feature, refactor, bug"
15504,Category(ies): feature
14393,Category(ies): bug
16806,Category(ies): bug
10852,Category(ies): bug
21658,Category(ies): feature
31015,Category(ies): refactor
24175,"Category(ies): feature, resource"
23126,"Category(ies): feature, refactor"
18903,Category(ies): refactor
17050,Category(ies): feature
14087,"Category(ies): bug, feature"
22859,Category(ies): feature
14837,"Category(ies): feature, refactor"
19306,"Category(ies): deprecate, refactor"
12200,Category(ies): bug
20716,Category(ies): resource
20965,"Category(ies): bug, feature"
12730,Category(ies): bug
23268,Category(ies): refactor
12563,Category(ies): feature
21898,"Category(ies): feature, refactor"
22788,Category(ies): feature
18975,Category(ies): bug
20204,"Category(ies): feature, refactor"
22392,Category(ies): bug
17509,"Category(ies): bug, refactor"
22457,"Category(ies): bug, refactor"
13386,Category(ies): refactor
17272,Category(ies): bug
18911,"Category(ies): bug, test"
14431,Category(ies): refactor
12918,Category(ies): feature
11498,"Category(ies): feature, bug"
23643,Category(ies): feature
12178,Category(ies): feature
24325,Category(ies): feature
23267,Category(ies): feature
10797,Category(ies): bug
21925,Category(ies): feature
16616,"Category(ies): merge, refactor"
23045,"Category(ies): feature, refactor"
20583,Category(ies): feature
20172,Category(ies): bug
22202,"Category(ies): refactor, bug"
22206,"Category(ies): bug, test"
22857,Category(ies): bug
20622,Category(ies): feature
10505,Category(ies): feature
16910,Category(ies): bug
9071,"Category(ies): refactor, bug"
13924,"Category(ies): feature, refactor"
14276,Category(ies): feature
19234,Category(ies): resource
20260,"Category(ies): feature, refactor"
789,Category(ies): bug
22567,Category(ies): refactor
12132,Category(ies): bug
17224,Category(ies): bug
17481,Category(ies): feature
14841,"Category(ies): feature, refactor"
15990,Category(ies): refactor
18708,Category(ies): bug
20632,Category(ies): bug
20798,"Category(ies): feature, test"
10744,Category(ies): bug
20953,Category(ies): bug
14724,Category(ies): feature
19579,Category(ies): bug
19348,"Category(ies): feature, refactor"
20817,Category(ies): refactor
21913,"Category(ies): feature, test"
20646,Category(ies): feature
23438,"Category(ies): bug, refactor"
20085,"Category(ies): merge, bug"
1550,Category(ies): refactor
12920,Category(ies): bug
