Id,Categories
1249,"Category(ies): bug, refactor"
1111,"Category(ies): feature, test"
6046,Category(ies): bug
655,Too Large
5812,"Category(ies): bug, refactor"
7869,"Category(ies): feature, resource"
1535,Category(ies): feature
5528,Category(ies): bug
508,Category(ies): bug
943,Category(ies): resource
6305,"Category(ies): feature, refactor"
4695,"Category(ies): feature, test"
7214,Category(ies): resource
5899,"Category(ies): bug, refactor"
2432,Category(ies): test
4072,"Category(ies): bug, refactor"
222,Category(ies): bug
4854,Category(ies): resource
6333,"Category(ies): feature, refactor"
5158,Category(ies): resource
3951,Category(ies): bug
2446,Category(ies): feature
6709,Category(ies): feature
899,"Category(ies): deprecate, refactor"
3832,Category(ies): test
3795,"Category(ies): refactor, feature"
6847,Too Large
4093,"Category(ies): refactor, feature"
5050,"Category(ies): feature, refactor"
6736,Category(ies): refactor
4696,"Category(ies): feature, refactor"
244,"Category(ies): feature, test"
2089,"Category(ies): refactor, feature"
1317,Too Large
2069,"Category(ies): bug, resource"
2942,Category(ies): bug
4119,"Category(ies): bug, refactor"
5458,Category(ies): feature
7567,Category(ies): bug
5692,Category(ies): resource
6967,Category(ies): bug
4573,"Category(ies): bug, refactor"
4948,Category(ies): bug
6893,Category(ies): resource
3971,"Category(ies): feature, refactor"
2051,Category(ies): deprecate
4298,"Category(ies): bug, refactor"
4106,Category(ies): feature
4374,"Category(ies): bug, refactor"
5030,Category(ies): resource
5193,Category(ies): resource
3638,Category(ies): resource
299,Category(ies): resource
4982,"Category(ies): bug, resource"
6386,"Category(ies): bug, feature"
2922,"Category(ies): feature, refactor, test"
1032,"Category(ies): bug, resource"
4946,"Category(ies): feature, test"
6480,Category(ies): bug
438,Category(ies): resource
2292,Category(ies): feature
1888,Category(ies): feature
7415,"Category(ies): deprecate, refactor"
5178,"Category(ies): deprecate, bug"
6261,"Category(ies): bug, feature"
47,"Category(ies): feature, refactor"
2705,Category(ies): test
6411,Category(ies): refactor
7172,Category(ies): bug
2150,"Category(ies): refactor, feature"
3068,Category(ies): bug
4955,"Category(ies): refactor, feature"
7452,Category(ies): resource
2569,Category(ies): feature
1054,Category(ies): resource
3320,"Category(ies): bug, feature"
3194,Category(ies): feature
2938,"Category(ies): feature, resource"
288,"Category(ies): deprecate, refactor"
6244,"Category(ies): feature, resource"
5882,"Category(ies): deprecate, refactor"
4985,"Category(ies): bug, resource"
5082,"Category(ies): bug, feature"
5491,"Category(ies): bug, feature"
3429,Category(ies): bug
6977,Category(ies): bug
3352,"Category(ies): deprecate, refactor"
1681,Category(ies): resource
1655,"Category(ies): deprecate, refactor"
4756,Category(ies): bug
4903,"Category(ies): feature, bug"
4584,Category(ies): feature
5113,"Category(ies): bug, feature"
7164,"Category(ies): resource, test"
6990,"Category(ies): deprecate, refactor"
418,Category(ies): resource
7332,"Category(ies): bug, feature"
5988,"Category(ies): feature, bug"
6670,"Category(ies): bug, refactor"
532,Category(ies): resource
3200,"Category(ies): feature, bug"
6978,Category(ies): refactor
1597,Category(ies): bug
4858,"Category(ies): bug, feature"
2185,"Category(ies): bug, feature"
708,Category(ies): feature
5419,"Category(ies): resource, feature"
7414,"Category(ies): refactor, test"
6940,Category(ies): bug
1356,Category(ies): resource
5688,"Category(ies): bug, resource"
7342,"Category(ies): feature, refactor"
2297,"Category(ies): test, bug"
1449,Category(ies): refactor
6242,Category(ies): bug
811,"Category(ies): feature, resource"
3597,Category(ies): feature
3119,Category(ies): bug
7360,"Category(ies): resource, test"
5590,Category(ies): feature
5769,"Category(ies): bug, refactor"
867,Category(ies): bug
2740,"Category(ies): bug, refactor"
3297,Category(ies): bug
2802,Category(ies): bug
4234,Category(ies): feature
3185,"Category(ies): bug, feature"
6329,Category(ies): feature
443,Category(ies): bug
289,Category(ies): resource
2384,Category(ies): deprecate
7005,"Category(ies): feature, refactor"
4768,Category(ies): bug
4768,Category(ies): bug
5869,"Category(ies): bug, refactor"
2405,Category(ies): feature
5862,"Category(ies): feature, refactor"
4603,Category(ies): resource
1569,Category(ies): bug
3422,Category(ies): deprecate
7451,Category(ies): refactor
1726,"Category(ies): bug, feature"
3926,Category(ies): resource
2020,Category(ies): bug
1386,"Category(ies): feature, refactor"
3927,"Category(ies): deprecate, bug"
5808,Category(ies): resource
6207,"Category(ies): deprecate, feature"
3361,Category(ies): bug
423,Category(ies): test
5094,"Category(ies): bug, refactor"
3880,Category(ies): bug
3700,"Category(ies): bug, refactor"
1149,"Category(ies): feature, test"
2080,Category(ies): refactor
6767,Category(ies): refactor
1516,"Category(ies): bug, refactor"
4709,Category(ies): bug
683,Category(ies): resource
1316,"Category(ies): bug, feature"
1420,"Category(ies): deprecate, resource"
7543,"Category(ies): bug, feature"
3315,"Category(ies): bug, refactor"
424,Category(ies): bug
4535,Category(ies): refactor
4355,"Category(ies): resource, test"
5829,Category(ies): resource
6845,"Category(ies): feature, refactor"
1286,Category(ies): resource
2066,Category(ies): feature
3031,"Category(ies): deprecate, refactor"
5811,Category(ies): bug
692,Category(ies): feature
2979,Category(ies): feature
6982,Category(ies): bug
3903,Category(ies): bug
923,"Category(ies): feature, test"
6685,"Category(ies): feature, resource"
3265,"Category(ies): deprecate, refactor"
1218,"Category(ies): feature, test"
1256,Category(ies): feature
6942,"Category(ies): resource, feature"
1132,"Category(ies): bug, feature"
1628,Too Large
7775,Category(ies): refactor
6987,Category(ies): feature
6817,Category(ies): test
4639,Category(ies): feature
2981,"Category(ies): deprecate, test"
5818,Category(ies): bug
7907,"Category(ies): deprecate, resource"
249,Category(ies): feature
752,"Category(ies): feature, test"
7175,"Category(ies): feature, test"
3983,Category(ies): feature
2152,Category(ies): feature
1676,"Category(ies): bug, feature"
4783,"Category(ies): feature, test"
5204,"Category(ies): feature, bug"
490,Category(ies): resource
4385,Category(ies): bug
948,Category(ies): feature
469,Category(ies): test
6100,Category(ies): test
1907,"Category(ies): refactor, feature"
3792,Category(ies): bug
3660,Category(ies): bug
4607,"Category(ies): deprecate, refactor"
4607,"Category(ies): deprecate, refactor"
6196,"Category(ies): test, refactor"
4473,Category(ies): bug
1110,"Category(ies): bug, resource"
95,Category(ies): bug
4987,Category(ies): resource
3506,Category(ies): feature
6045,"Category(ies): resource, test"
3299,"Category(ies): feature, bug"
6012,"Category(ies): feature, bug"
6124,"Category(ies): bug, feature"
5385,"Category(ies): bug, feature"
5695,Category(ies): resource
4646,"Category(ies): feature, test"
6423,"Category(ies): deprecate, refactor"
3323,Category(ies): bug
1593,"Category(ies): feature, refactor"
7219,Category(ies): bug
445,Category(ies): bug
6968,"Category(ies): bug, feature"
1830,Category(ies): bug
2273,Category(ies): bug
7096,Category(ies): bug
7371,"Category(ies): bug, refactor"
