Id,OwnerName,Title,Description,ChangedFiles,files_diff_dict,Label
1249,Lorin Hochstein,Workaround for eventlet bug with unit tests in RHEL6.1.,"RHEL6.1 unit test fixes

Workaround for eventlet bug with unit tests in RHEL6.1. Added a patch to fix the code inside the virtualenv.
bug 884915

Fixes libvirt-related unit tests. Updated fake image ids from ints to uuids, now libvirt tests pass.
bug 885037

Change-Id: I6dbf755abbc5a52208de3dd892257ce39686d396","['contrib/rhel61-eventlet.patch', 'tools/install_venv.py', 'nova/tests/test_libvirt.py']","{""rhel61-eventlet.patch"": ""@@ -0,0 +1,16 @@\n+--- /usr/lib/python2.6/site-packages/eventlet/green/subprocess.py.orig  \n+2011-05-25\n+23:31:34.597271402 +0000\n++++ /usr/lib/python2.6/site-packages/eventlet/green/subprocess.py       \n+2011-05-25\n+23:33:24.055602468 +0000\n+@@ -32,7 +32,7 @@\n+                     setattr(self, attr, wrapped_pipe)\n+         __init__.__doc__ = subprocess_orig.Popen.__init__.__doc__\n+\n+-    def wait(self, check_interval=0.01):\n++    def wait(self, check_interval=0.01, timeout=None):\n+         # Instead of a blocking OS call, this version of wait() uses logic\n+         # borrowed from the eventlet 0.2 processes.Process.wait() method.\n+         try:\n+\n"", ""test_libvirt.py"": ""@@ -248,7 +248,7 @@ class LibvirtConnTestCase(test.TestCase):\n                      'vcpus': 2,\n                      'project_id': 'fake',\n                      'bridge': 'br101',\n-                     'image_ref': '123456',\n+                     'image_ref': '155d900f-4e14-4e4c-a73d-069cbf4541e6',\n                      'local_gb': 20,\n                      'instance_type_id': '5'}  # m1.small\n \n@@ -364,7 +364,7 @@ class LibvirtConnTestCase(test.TestCase):\n         # Assign image_ref = 3 from nova/images/fakes for testing\n         # ami image\n         test_instance = copy.deepcopy(self.test_instance)\n-        test_instance[\""image_ref\""] = \""3\""\n+        test_instance[\""image_ref\""] = 'c905cedb-7281-47e4-8a62-f26bc5fc4c77'\n \n         # Assuming that base image already exists in image_service\n         instance_ref = db.instance_create(self.context, test_instance)\n@@ -478,7 +478,7 @@ class LibvirtConnTestCase(test.TestCase):\n         # Assign image_ref = 2 from nova/images/fakes for testing different\n         # base image\n         test_instance = copy.deepcopy(self.test_instance)\n-        test_instance[\""image_ref\""] = \""2\""\n+        test_instance[\""image_ref\""] = '76fa36fc-c930-4bf3-8c8a-ea2a2420deb6'\n \n         # Assuming that base image already exists in image_service\n         instance_ref = db.instance_create(self.context, test_instance)\n"", ""install_venv.py"": ""@@ -89,6 +89,13 @@ class Distro(object):\n     def install_m2crypto(self):\n         pip_install('M2Crypto')\n \n+    def post_process(self):\n+        \""\""\""Any distribution-specific post-processing gets done here.\n+\n+        In particular, this is useful for applying patches to code inside\n+        the venv.\""\""\""\n+        pass\n+\n \n class Fedora(Distro):\n     \""\""\""This covers all Fedora-based distributions.\n@@ -120,8 +127,43 @@ class Fedora(Distro):\n             self.yum_install('m2crypto')\n \n \n+class RHEL61(Fedora):\n+\n+    def post_process(self):\n+        \""\""\""Work around a bug in eventlet.\n+\n+        See https://bugs.launchpad.net/nova/+bug/884915\n+        \""\""\""\n+        # Install patch if it's not there\n+        if not self.check_pkg('patch'):\n+            self.yum_install('patch')\n+\n+        # Apply the patch\n+        run_command(['patch',\n+        '.nova-venv/lib/python2.6/site-packages/eventlet/green/subprocess.py',\n+        'contrib/rhel61-eventlet.patch'])\n+\n+\n+def is_rhel61():\n+    \""\""\""Test if this distribution is RHEL 6.1\""\""\""\n+    try:\n+        return open('/etc/redhat-release').read() == \\\n+          'Red Hat Enterprise Linux Server release 6.1 (Santiago)\\n'\n+    except:\n+        return False\n+\n+\n+def is_fedora_based():\n+    \""\""\""Test if this is a Fedora-based distribution.\""\""\""\n+    return os.path.exists('/etc/fedora-release') or \\\n+           os.path.exists('/etc/redhat-release')\n+\n+\n def get_distro():\n-    if os.path.exists('/etc/fedora-release') or os.path.exists('/etc/redhat-release'):\n+    \""\""\""Check which distribution we are on\""\""\""\n+    if is_rhel61():\n+        return RHEL61()\n+    elif is_fedora_based():\n         return Fedora()\n     else:\n         return Distro()\n@@ -172,6 +214,10 @@ def install_dependencies(venv=VENV):\n     f.write(\""%s\\n\"" % ROOT)\n \n \n+def post_process():\n+    get_distro().post_process()\n+\n+\n def print_help():\n     help = \""\""\""\n     Nova development environment setup is complete.\n@@ -199,6 +245,7 @@ def main(argv):\n     check_dependencies()\n     create_virtualenv()\n     install_dependencies()\n+    post_process()\n     print_help()\n \n if __name__ == '__main__':\n""}","bug, test"
1111,Johannes Erdfelt,Disable SQLite synchronous mode during tests,"Disable SQLite synchronous mode during tests

SQLite uses synchronous mode by default, which will synchronously write
data to disk. This will increase durability of data at the expense of
performance. The test suite does not need data to be durably written
to disk, so disabling synchronous mode results in a speeding up the
full test suite by about 20 seconds.

Change-Id: I5ca1ab1e8691e912d801fe1002dff752c82f3d5d","['nova/db/sqlalchemy/session.py', 'nova/flags.py', 'nova/tests/fake_flags.py']","{""session.py"": ""@@ -18,6 +18,7 @@\n \n \""\""\""Session Handling for SQLAlchemy backend.\""\""\""\n \n+from sqlalchemy.interfaces import PoolListener\n import sqlalchemy.orm\n \n import nova.exception\n@@ -45,6 +46,13 @@ def get_session(autocommit=True, expire_on_commit=False):\n     return session\n \n \n+class SynchronousSwitchListener(PoolListener):\n+    \""\""\""Switch sqlite connections to non-synchronous mode\""\""\""\n+\n+    def connect(self, dbapi_con, con_record):\n+        dbapi_con.execute(\""PRAGMA synchronous = OFF\"")\n+\n+\n def get_engine():\n     \""\""\""Return a SQLAlchemy engine.\""\""\""\n     connection_dict = sqlalchemy.engine.url.make_url(FLAGS.sql_connection)\n@@ -57,6 +65,9 @@ def get_engine():\n     if \""sqlite\"" in connection_dict.drivername:\n         engine_args[\""poolclass\""] = sqlalchemy.pool.NullPool\n \n+        if not FLAGS.sqlite_synchronous:\n+            engine_args[\""listeners\""] = [SynchronousSwitchListener()]\n+\n     return sqlalchemy.create_engine(FLAGS.sql_connection, **engine_args)\n \n \n"", ""flags.py"": ""@@ -375,6 +375,7 @@ DEFINE_string('logdir', None, 'output to a per-service log file in named '\n                               'directory')\n DEFINE_string('logfile_mode', '0644', 'Default file mode of the logs.')\n DEFINE_string('sqlite_db', 'nova.sqlite', 'file name for sqlite')\n+DEFINE_bool('sqlite_synchronous', True, 'Synchronous mode for sqlite')\n DEFINE_string('sql_connection',\n               'sqlite:///$state_path/$sqlite_db',\n               'connection string for sql database')\n"", ""fake_flags.py"": ""@@ -39,3 +39,4 @@ FLAGS['verbose'].SetDefault(True)\n FLAGS['sqlite_db'].SetDefault(\""tests.sqlite\"")\n FLAGS['use_ipv6'].SetDefault(True)\n FLAGS['flat_network_bridge'].SetDefault('br100')\n+FLAGS['sqlite_synchronous'].SetDefault(False)\n""}","test, bug"
6046,Vish Ishaya,fixed postgresql flavor-create,"fixed postgresql flavor-create

fixes bug 968190
nova flavor-create failed on postgresql DB
because sqlalchemy tried to write an integer into a varchar field

Change-Id: Ib47d8d10e96fedb2158f454503fe1ca3493c16bb
Signed-Off-By: Bernhard M. Wiedemann <bwiedemann suse.com>","['Authors', 'nova/compute/instance_types.py']","{""Authors"": ""@@ -75,6 +75,7 @@ Hisaki Ohara <hisaki.ohara@intel.com>\n Ilya Alekseyev <ilyaalekseyev@acm.org>\n Isaku Yamahata <yamahata@valinux.co.jp>\n Ivan Kolodyazhny <e0ne@e0ne.info>\n+J. Daniel Schmidt<jdsn@suse.de>\n Jake Dahn <jake@ansolabs.com>\n James E. Blair <jeblair@hp.com>\n Jason Cannavale <jason.cannavale@rackspace.com>\n"", ""instance_types.py"": ""@@ -66,7 +66,9 @@ def create(name, memory, vcpus, root_gb, ephemeral_gb, flavorid, swap=None,\n             raise exception.InvalidInput(reason=msg)\n \n     kwargs['name'] = name\n-    kwargs['flavorid'] = flavorid\n+    # NOTE(vish): Internally, flavorid is stored as a string but it comes\n+    #             in through json as an integer, so we convert it here.\n+    kwargs['flavorid'] = unicode(flavorid)\n \n     try:\n         return db.instance_type_create(context.get_admin_context(), kwargs)\n""}",bug
